TestName,VertexCount,Runtime(milliseconds),PITC,PITC/VertexCount,UPD,AvgDegree,
StressTests/4452,1164,102,17551,15.0782,235,5.82494,
StressTests/4453,1163,107,16488,14.1771,529,5.66509,
StressTests/4454,1163,124,17891,15.3835,403,5.93928,
StressTests/4455,1162,96,18189,15.6532,282,5.98213,
StressTests/4456,1161,109,17896,15.4143,257,5.91342,
StressTests/4457,1162,90,17594,15.1411,268,5.84978,
StressTests/4458,1161,99,18229,15.7011,349,6.00624,
StressTests/4459,1162,82,17611,15.1558,333,5.87002,
StressTests/4460,1160,100,17738,15.2914,291,5.89311,
StressTests/4461,1161,76,17849,15.3738,236,5.90108,
StressTests/4462,1161,77,17735,15.2756,296,5.8948,
StressTests/4463,1161,92,17249,14.857,400,5.81982,
StressTests/4464,1161,112,18466,15.9053,144,6.02425,
StressTests/4465,1160,117,18308,15.7828,349,6.02306,
StressTests/4466,1160,88,17535,15.1164,272,5.84869,
StressTests/4467,1160,126,17521,15.1043,299,5.84574,
StressTests/4468,1159,86,17613,15.1967,266,5.86324,
StressTests/4469,1160,90,17461,15.0526,271,5.82715,
StressTests/4470,1160,72,17760,15.3103,300,5.89961,
StressTests/4471,1160,51,17763,15.3129,252,5.89124,
StressTests/4472,1159,84,17292,14.9198,352,5.81249,
StressTests/4473,1157,107,17644,15.2498,351,5.90032,
